conv_id,msg_idx,latency_ms,is_merge
conv_02,70,2666.2230,true
conv_02,71,3004.3142,true
conv_02,72,2464.5760,true
conv_02,73,2347.8794,true
conv_02,74,2409.7245,true
conv_02,75,2933.5280,true
conv_02,76,2517.4552,true
conv_02,77,2870.2788,true
conv_02,78,3298.8211,true
conv_02,79,3275.4338,true
conv_02,80,3277.5735,true
conv_02,81,2606.8958,true
conv_02,82,3267.0041,true
conv_02,83,3771.9065,true
conv_02,84,3335.5243,true
conv_02,85,3501.3786,true
conv_02,86,3068.1873,true
conv_02,87,3693.6637,true
conv_02,88,2551.7310,true
conv_02,89,3672.5321,true
conv_02,90,3669.9711,true
conv_02,91,3215.2113,true
conv_02,92,3172.0392,true
conv_02,93,3379.9916,true
conv_02,94,2353.5339,true
conv_02,95,3689.8445,true
conv_02,96,2659.0858,true
conv_02,97,2767.2024,true
conv_02,98,3266.6276,true
conv_02,99,3182.8079,true
conv_02,100,3962.0492,true
conv_02,101,2955.1378,true
conv_02,102,2506.3699,true
conv_02,103,3275.5152,true
conv_02,104,1026.6983,true
conv_02,105,3248.9221,true
conv_02,106,3096.8443,true
conv_02,107,3220.3654,true
conv_02,108,3377.5869,true
conv_02,109,3182.4184,true
conv_02,110,3279.1535,true
conv_02,111,2984.3023,true
conv_02,112,2507.9031,true
conv_02,113,3161.6897,true
conv_02,114,3408.4275,true
conv_02,115,903.3875,true
conv_02,116,4209.6259,true
conv_02,117,3318.4408,true
conv_02,118,3720.1980,true
conv_02,119,3074.2665,true
conv_03,0,0.0692,false
conv_03,1,0.0348,false
conv_03,2,0.0254,false
conv_03,3,0.0317,false
conv_03,4,0.0313,false
conv_03,5,0.0315,false
conv_03,6,0.4727,false
conv_03,7,0.0512,false
conv_03,8,0.0405,false
conv_03,9,0.0139,false
conv_03,10,0.0330,false
conv_03,11,0.0315,false
conv_03,12,0.0294,false
conv_03,13,0.0199,false
conv_03,14,0.0432,false
conv_03,15,0.0292,false
conv_03,16,0.0304,false
conv_03,17,0.0123,false
conv_03,18,0.0290,false
conv_03,19,0.0213,false
conv_03,20,0.0400,false
conv_03,21,0.0334,false
conv_03,22,0.0318,false
conv_03,23,0.0356,false
conv_03,24,0.0247,false
conv_03,25,0.0333,false
conv_03,26,0.0354,false
conv_03,27,0.0288,false
conv_03,28,0.0286,false
conv_03,29,0.3232,false
conv_03,30,0.0429,false
conv_03,31,0.0464,false
conv_03,32,0.0465,false
conv_03,33,0.0267,false
conv_03,34,0.0470,false
conv_03,35,0.0351,false
conv_03,36,0.0535,false
conv_03,37,0.0578,false
conv_03,38,0.0662,false
conv_03,39,0.0461,false
conv_03,40,1068.6009,true
conv_03,41,1290.9634,true
conv_03,42,1455.2697,true
conv_03,43,1255.7832,true
conv_03,44,1426.4840,true
conv_03,45,1637.8742,true
conv_03,46,1354.8800,true
conv_03,47,1921.5794,true
conv_03,48,1394.2763,true
conv_03,49,2295.7925,true
conv_03,50,2055.7649,true
conv_03,51,1984.6842,true
conv_03,52,2000.4168,true
conv_03,53,2147.0862,true
conv_03,54,2148.9060,true
conv_03,55,2562.4156,true
conv_03,56,2175.6226,true
conv_03,57,2534.1058,true
conv_03,58,1843.0922,true
conv_03,59,2050.4683,true
conv_03,60,2968.8393,true
conv_03,61,2348.9646,true
conv_03,62,2563.9141,true
conv_03,63,2662.1227,true
conv_03,64,2117.9454,true
conv_03,65,2491.1152,true
conv_03,66,3002.1994,true
conv_03,67,2220.1559,true
conv_03,68,2414.5408,true
conv_03,69,2333.5972,true
conv_03,70,2623.4811,true
conv_03,71,2071.1135,true
conv_03,72,2412.8296,true
conv_03,73,2174.8121,true
conv_03,74,3788.1567,true
conv_03,75,2649.5480,true
conv_03,76,2581.2299,true
conv_03,77,2118.7885,true
conv_03,78,2694.9479,true
conv_03,79,2855.1133,true
